block,task_id,family,n,comparator,budget,field,log_ratio,absolute_r_difference,rank_r,baseline_r,matched_seed_pairs
0,test_er_100_01,er,100,mse,192,best_r,0.004610443324756166,0.0015208333333333417,0.33061250000000003,0.32909166666666667,6
0,test_er_100_02,er,100,mse,192,best_r,0.0048606303069134065,0.0015958333333333334,0.3288125,0.32721666666666666,6
0,test_er_100_03,er,100,mse,192,best_r,0.0007920912047107171,0.00026666666666666505,0.32124583333333334,0.32097916666666665,6
0,test_er_100_04,er,100,mse,192,best_r,0.005124749344560563,0.0016625000000000019,0.32792499999999997,0.32626249999999996,6
0,test_er_100_05,er,100,mse,192,best_r,0.006714748189046147,0.0021874999999999902,0.32659583333333336,0.3244083333333333,6
0,test_er_100_06,er,100,mse,192,best_r,0.0066365480714958465,0.0022166666666666723,0.33375,0.33153333333333335,6
0,test_er_100_07,er,100,mse,192,best_r,0.010809068895716409,0.0036375000000000066,0.3382583333333333,0.3346208333333333,6
0,test_er_50_00,er,50,mse,192,best_r,0.004543254553065841,0.0015833333333333532,0.34946666666666665,0.3478833333333333,6
0,test_er_50_01,er,50,mse,192,best_r,0.0017521489212499067,0.0006000000000000172,0.34785,0.34725,6
0,test_er_50_02,er,50,mse,192,best_r,-0.0029353203840252417,-0.0010333333333333306,0.35203333333333336,0.3530666666666667,6
0,test_er_50_03,er,50,mse,192,best_r,0.005146787695508388,0.0017666666666666664,0.34318333333333334,0.34141666666666665,6
0,test_er_50_04,er,50,mse,192,best_r,-0.0015104108070097537,-0.0005166666666666745,0.3407166666666667,0.34123333333333333,6
0,test_er_50_05,er,50,mse,192,best_r,0.006401618174845678,0.002266666666666676,0.35638333333333333,0.35411666666666664,6
0,test_er_50_06,er,50,mse,192,best_r,0.004548215973272758,0.0015333333333333403,0.34273333333333333,0.3412,6
0,test_er_50_07,er,50,mse,192,best_r,-0.0038172770630231045,-0.0012999999999999863,0.33938333333333337,0.3406833333333333,6
1,test_ba_100_00,ba,100,mse,192,best_r,0.03950953773470879,0.010450000000000006,0.2708375,0.2603875,6
1,test_ba_100_01,ba,100,mse,192,best_r,0.03381124271978519,0.0082375,0.24788333333333332,0.23964583333333334,6
1,test_ba_100_02,ba,100,mse,192,best_r,0.023627835710408964,0.0061583333333333394,0.2637541666666667,0.2575958333333333,6
1,test_ba_100_03,ba,100,mse,192,best_r,0.019150851531483104,0.005020833333333326,0.26580833333333337,0.2607875,6
1,test_ba_100_04,ba,100,mse,192,best_r,0.03231409482002782,0.007987499999999995,0.25175416666666667,0.2437666666666667,6
1,test_ba_100_05,ba,100,mse,192,best_r,0.029664156332828814,0.007208333333333335,0.24770833333333334,0.24049999999999996,6
1,test_ba_100_06,ba,100,mse,192,best_r,0.0229099666604039,0.006066666666666665,0.26844583333333333,0.26237916666666666,6
1,test_ba_100_07,ba,100,mse,192,best_r,0.017657812652850272,0.0048708333333333425,0.27919583333333337,0.274325,6
1,test_ba_50_00,ba,50,mse,192,best_r,0.017465883883495573,0.004566666666666663,0.2671666666666667,0.2626,6
1,test_ba_50_01,ba,50,mse,192,best_r,0.019608816774990767,0.005883333333333342,0.3032166666666667,0.29733333333333334,6
1,test_ba_50_02,ba,50,mse,192,best_r,0.04366726974260765,0.011933333333333332,0.27913333333333334,0.26720000000000005,6
1,test_ba_50_03,ba,50,mse,192,best_r,0.037208891014214776,0.010466666666666671,0.28696666666666665,0.2765,6
1,test_ba_50_04,ba,50,mse,192,best_r,0.02794737520384651,0.00706666666666667,0.2598833333333333,0.2528166666666667,6
1,test_ba_50_05,ba,50,mse,192,best_r,0.015655352452067502,0.004483333333333367,0.28683333333333333,0.28235,6
1,test_ba_50_06,ba,50,mse,192,best_r,0.013451512058823037,0.004216666666666684,0.3159,0.3116833333333333,6
1,test_ba_50_07,ba,50,mse,192,best_r,0.023829599380084807,0.006316666666666674,0.2687333333333333,0.2624166666666667,6
1,test_er_100_00,er,100,mse,192,best_r,0.0028543952790337722,0.000962500000000005,0.33493749999999994,0.33397499999999997,6
1,test_er_100_01,er,100,mse,192,best_r,0.0074400356839350755,0.0025624999999999862,0.3453958333333333,0.3428333333333333,6
1,test_er_100_02,er,100,mse,192,best_r,0.004435150786606536,0.0014791666666666703,0.33210833333333334,0.3306291666666667,6
1,test_er_100_03,er,100,mse,192,best_r,-0.0037302809726286225,-0.0012166666666666621,0.3268125,0.32802916666666665,6
1,test_er_100_04,er,100,mse,192,best_r,0.006929592497619594,0.0022541666666666773,0.32558333333333334,0.32332916666666667,6
1,test_er_100_05,er,100,mse,192,best_r,0.00323254002048873,0.0010583333333333278,0.32774583333333335,0.3266875,6
