block,task_id,family,n,method,model_seed,search_seed,budget,best_r,fresh_r
0,test_ba_100_03,ba,100,mse,23,101,96,0.23415,0.230765625
0,test_ba_100_03,ba,100,mse,23,101,192,0.242675,0.23854375
0,test_ba_100_03,ba,100,mse,23,202,96,0.220125,0.219821875
0,test_ba_100_03,ba,100,mse,23,202,192,0.23355,0.23085625
0,test_ba_100_03,ba,100,mse,23,303,96,0.22595,0.222921875
0,test_ba_100_03,ba,100,mse,23,303,192,0.246225,0.235846875
0,test_ba_100_03,ba,100,pool_random,-1,101,96,0.223925,0.222475
0,test_ba_100_03,ba,100,pool_random,-1,101,192,0.230075,0.228403125
0,test_ba_100_03,ba,100,pool_random,-1,202,96,0.216375,0.214809375
0,test_ba_100_03,ba,100,pool_random,-1,202,192,0.222175,0.221353125
0,test_ba_100_03,ba,100,pool_random,-1,303,96,0.224325,0.21955
0,test_ba_100_03,ba,100,pool_random,-1,303,192,0.22475,0.22193125
0,test_ba_100_03,ba,100,random,-1,101,96,0.219575,0.22021875
0,test_ba_100_03,ba,100,random,-1,101,192,0.219575,0.22021875
0,test_ba_100_03,ba,100,random,-1,202,96,0.218725,0.215434375
0,test_ba_100_03,ba,100,random,-1,202,192,0.218725,0.215434375
0,test_ba_100_03,ba,100,random,-1,303,96,0.21825,0.211978125
0,test_ba_100_03,ba,100,random,-1,303,192,0.231075,0.22635625
0,test_ba_100_03,ba,100,ranknet,17,101,96,0.235225,0.2333
0,test_ba_100_03,ba,100,ranknet,17,101,192,0.245975,0.2457625
0,test_ba_100_03,ba,100,ranknet,17,202,96,0.234675,0.2278625
0,test_ba_100_03,ba,100,ranknet,17,202,192,0.2493,0.242971875
0,test_ba_100_03,ba,100,ranknet,17,303,96,0.2354,0.2332375
0,test_ba_100_03,ba,100,ranknet,17,303,192,0.241925,0.23775625
0,test_ba_100_03,ba,100,ranknet,23,101,96,0.23565,0.234453125
0,test_ba_100_03,ba,100,ranknet,23,101,192,0.2472,0.24510625
0,test_ba_100_03,ba,100,ranknet,23,202,96,0.2404,0.233171875
0,test_ba_100_03,ba,100,ranknet,23,202,192,0.2449,0.237475
0,test_ba_100_03,ba,100,ranknet,23,303,96,0.237775,0.2318625
0,test_ba_100_03,ba,100,ranknet,23,303,192,0.243875,0.232425
0,test_ba_100_04,ba,100,ea,-1,101,96,0.227,0.226903125
0,test_ba_100_04,ba,100,ea,-1,101,192,0.2329,0.226175
0,test_ba_100_04,ba,100,ea,-1,202,96,0.2243,0.2262
0,test_ba_100_04,ba,100,ea,-1,202,192,0.233925,0.2324375
0,test_ba_100_04,ba,100,ea,-1,303,96,0.2267,0.22329375
0,test_ba_100_04,ba,100,ea,-1,303,192,0.230725,0.224296875
0,test_ba_100_04,ba,100,global_log_mse,17,101,96,0.236375,0.2367375
0,test_ba_100_04,ba,100,global_log_mse,17,101,192,0.241525,0.239365625
0,test_ba_100_04,ba,100,global_log_mse,17,202,96,0.224275,0.225278125
0,test_ba_100_04,ba,100,global_log_mse,17,202,192,0.236425,0.231340625
0,test_ba_100_04,ba,100,global_log_mse,17,303,96,0.2373,0.237809375
0,test_ba_100_04,ba,100,global_log_mse,17,303,192,0.24955,0.24945
0,test_ba_100_04,ba,100,global_log_mse,23,101,96,0.238025,0.234
0,test_ba_100_04,ba,100,global_log_mse,23,101,192,0.24415,0.242378125
0,test_ba_100_04,ba,100,global_log_mse,23,202,96,0.238025,0.236221875
0,test_ba_100_04,ba,100,global_log_mse,23,202,192,0.2412,0.24076875
0,test_ba_100_04,ba,100,global_log_mse,23,303,96,0.232225,0.231815625
0,test_ba_100_04,ba,100,global_log_mse,23,303,192,0.250525,0.24501875
0,test_ba_100_04,ba,100,global_mse,17,101,96,0.23555,0.232984375
0,test_ba_100_04,ba,100,global_mse,17,101,192,0.245325,0.241665625
0,test_ba_100_04,ba,100,global_mse,17,202,96,0.236375,0.235259375
0,test_ba_100_04,ba,100,global_mse,17,202,192,0.243875,0.243165625
0,test_ba_100_04,ba,100,global_mse,17,303,96,0.233,0.232521875
0,test_ba_100_04,ba,100,global_mse,17,303,192,0.243425,0.244090625
0,test_ba_100_04,ba,100,global_mse,23,101,96,0.2373,0.231778125
0,test_ba_100_04,ba,100,global_mse,23,101,192,0.2426,0.239471875
0,test_ba_100_04,ba,100,global_mse,23,202,96,0.235675,0.234071875
0,test_ba_100_04,ba,100,global_mse,23,202,192,0.248625,0.24173125
